word,times,recordings,suggestion,type,example (recording),example context
jamaica,1,1,Jamaica | Jamaican,likely misspelling / mishearing,salon-074,"ctually a lot of nature around. Right around Jamaica Bay is an estuary. Oh, here's Sungjin Lee's "
jakar,1,1,Jamar | Dakar | jerkier,likely misspelling / mishearing,interview-006, And so we're just starting to generate some Jakar.  From that but they aren't here and then gu
jaida,1,1,Jaime | Jada | jail,"check: unusual word, term or non-English",salon-088,"Yes, so hello, Abdul! I'm Kedarsha from Jaida School for excellence. Gudavi Ahmedabad. It'"
jahangir,1,1,,"check: unusual word, term or non-English",interview-019,"Yes, and so five first, first show was at Jahangir Art Gallery, but they have a system of booki"
jaffe,1,1,Jaffa | gaff | caffe,likely misspelling / mishearing,interview-024,th three other people. Marco Vasi. See Louis Jaffe and Michael Shamberg. They should all get cr
jafar's,1,1,Jamar's | gaffer's | gofer's,likely misspelling / mishearing,presentation-008,her.  All right. And this is a night view in Jafar’s world.
ivisit,1,1,visit,likely misspelling / mishearing,salon-053,"ortraits that are based on screen grabs from iVisit, which is one of the first desktop video con"
iverson,1,1,Iverson | inversion,likely misspelling / mishearing,interview-024, And one of them is already museumized.  The Iverson bought it. And the next one is up for grabs.
itsuka,1,1,,"check: unusual word, term or non-English",salon-090,"t Formica, and did a ceramic tile project at Itsuka Chemical Company in Japan. In the early 1980"
itp,1,1,its | tip | itv,"check: unusual word, term or non-English",interview-027,rted learning coding creative coding through itp and started making work generative work. And
itma,1,1,imma | ima | item,"check: unusual word, term or non-English",salon-046,"I got connected to Patrick's. And thank you, Itma, for selecting my work. Now, inspiration is."
itho,1,1,Utah | tho | imho,"check: unusual word, term or non-English",salon-038,"n the wall, right? And so this is sort of my Itho trophy. And it was about getting this messag"
ithaca,1,1,Ithaca,likely misspelling / mishearing,presentation-001,"So Stephen Paré is originally from Ithaca, New York. He began his career in music and "
iter,1,1,tier | item | inter,"check: unusual word, term or non-English",salon-081,permissioning for reproduction or production iter instance instantiation on my nice printer th
itc,1,1,its | etc | tic,"check: unusual word, term or non-English",salon-088,"as that when we go to a grand hotel like the Itc Hotel or some grand hotel, we ourselves feel"
itang,1,1,tang,likely misspelling / mishearing,salon-105,"ur next speaker is… A little bit about her.  Itang founder, performer, builder, whose work live"
italians,1,1,Italians | Italian's,likely misspelling / mishearing,salon-099,"come from, occupied Italian Eritrea when the Italians invaded Eritrea, and they were very horrific"
italiano,1,1,Italian | Italiano | Italians,likely misspelling / mishearing,salon-090,es under Charles �chod apple purpose complex Italiano Elizabeth saw this thing pop up like the fir
istan,1,1,Stan | is tan | is-tan,likely misspelling / mishearing,salon-083,t have you so? Alright! Let me. Just see. To Istan Vernada.
israeli,1,1,Israeli | Israel | Israelis,likely misspelling / mishearing,salon-102,"e was an extensive poisoning campaign by the Israeli government, because there was a lot of fear "
ismsies,1,1,isthmuses,"check: unusual word, term or non-English",salon-037,"ism and surrealism. And, you know, all these ismsies, these sorts of things. And I was actually g"
ismaili,1,1,Israeli | Ismaili | Ismailis,"check: unusual word, term or non-English",salon-020,ere was Chris Nappy on percussion and Shazad Ismaili on like a tiny little guitar off in a corner
isim,1,1,sim | ism | idim,likely misspelling / mishearing,salon-079,"hese images? And of course, because we're in Isim how to do the potato eaters, and also Goya e"
isfahani,1,1,Isfahan,likely misspelling / mishearing,salon-047,"mixing different styles like, Bakhtiari with Isfahani and, and, Baluchi and that sort of thing and"
iseo,1,1,is | issue | iso,"check: unusual word, term or non-English",salon-021,"over.  So then I did a piece that was during ISEO, was shown on the ICC tower. So this is just"
isen,1,1,Sienna | sen | risen,"check: unusual word, term or non-English",salon-098,lowonym 16 meters ten rebuild change lines 19isen measured 21 spoon media with digital work.  
isekai,1,1,Osaka | esker,"check: unusual word, term or non-English",salon-055,"deo game, it's called, in Japan, it's called Isekai, it's another world stories where, you know,"
isaiah's,1,1,Isaiah's | Isaac's | Isiah's,likely misspelling / mishearing,salon-045,anize. Like I got a message from there's two Isaiah's.  Apparently there's two different organizat
isabel's,1,1,Isabel's | Isabell's | Isabela's,likely misspelling / mishearing,salon-106,"es. Well, why don't you go ahead? Let's show Isabel's video."
isaac,1,1,Isaac | Issac | Isaak,likely misspelling / mishearing,salon-090,"he Brooklyn Museum Art School with painters, Isaac Sawyer, Ruben Tam, and Tom Doyle, the sculpt"
irvin,1,1,Irvin | Irving | Irwin,likely misspelling / mishearing,salon-065,"the other Cynthia that we have, Cynthia Beth Irvin, she says great depth in that image. Also, s"
irt,1,1,it | art | dirt,likely misspelling / mishearing,interview-003,John Wayne is alive and well and writing the IRT another information painting.  And there's m
irshad,1,1,arcade | orchid | arched,"check: unusual word, term or non-English",salon-046,"en actually for one of our pieces, we've got Irshad Fatahian, so kill so you don't get killed. T"
irs,1,1,its | is | hirs,"check: unusual word, term or non-English",salon-014," Transactions and it literally generated the IRS form.  It was unbelievable. I was just like,"
irina,1,1,Iran | Irene | iron,"check: unusual word, term or non-English",salon-087, on the side.  Here we have Moonflower II by Irina Ali Povsky. I'm not sure if you're here. I d
iribus,1,1,iris | irises,likely misspelling / mishearing,salon-041,led mount doom and the other is called mount iribus and they're like surrounded by ice and that 
iranians,1,1,Iranians | Iranian's,likely misspelling / mishearing,salon-072,ic concepts and mythological power among the Iranians. The Cyprus Tree held great symbolism in anc
ir's,1,1,it's | if's | irks,"check: unusual word, term or non-English",salon-030, go.  All right. So that is Techspressionism.ir's Instagram link. If anybody would like to per
ippolito's,1,1,,"check: unusual word, term or non-English",interview-001,"u know, when I graduated, I pretty much took Ippolito's advice and, you know, moved to New York, mov"
ipo,1,1,imo | iso | Pipo,"check: unusual word, term or non-English",salon-012,ge at this point. They're actually having an IPO pretty soon. But you can sign up for a Coinb
iphota,1,1,iPhoto,likely misspelling / mishearing,salon-081,"is I use I photo that. Well, it's not called Iphota. But the these are a few trailers. I'm gonna"
iphone's,1,1,iPhones | iPhone's | phones,likely misspelling / mishearing,salon-100, entirely by the algorithmic processes of my iPhone's AI as it struggles to cope with the novel ex
ipcc,1,1,iicc | imcc | ilcc,"check: unusual word, term or non-English",salon-041,and oh this far away. There's stuff that the IPCC didn't want to put into their reports becaus
iowa,1,1,Iowa | Kiowa | iota,likely misspelling / mishearing,salon-021,"Arts Center, Cedar Rapids, and Cedar Rapids, Iowa, and Seduced by Sacred, which is a Jewish ar"
inza,1,1,Ina | inna | inga,likely misspelling / mishearing,salon-095,re making money into now for public purposes inza state like hard labor about software develop
invasives,1,1,invasive,likely misspelling / mishearing,salon-102,"ities around that species, and they count as invasives. And you can see her holding a python here a"
introate,1,1,nitrate | intro ate | intro-ate,likely misspelling / mishearing,salon-104,"ionistic representation of what is really an introate or intangible character.  Some of them, like"
intraaction,1,2,interaction,likely misspelling / mishearing,salon-101,"y interesting. And it's going to be entitled Intraaction Between Art and Science, New Modes of Knowle"
intoda,1,1,inroad,"check: unusual word, term or non-English",salon-093, has been archived for viewing at TEDx. Some INTODA immunizations data desk digitization animati
interweb,1,1,inter web | inter-web,likely misspelling / mishearing,salon-020,t and so yeah I mean it's really the sort of interweb and I also was thinking like neurons and neu
interspiritual,1,1,inter-spiritual | inter spiritual,likely misspelling / mishearing,salon-109," talents wherever they take you. I'm also an interspiritual minister studying. I mean, my theology is ju"
interspeciality,1,1,,"check: unusual word, term or non-English",salon-099, that explores AI environmental collapse and interspeciality. So the staging interfaces like VR and real-
interpermeate,1,1,inter permeate | inter-permeate,likely misspelling / mishearing,salon-053,aybe the language of photography has come to interpermeate many directions. But also seem to have many 
interdisciplinarity,1,1,interdisciplinary,likely misspelling / mishearing,salon-105,"I mean, just experience in general, just the interdisciplinarity aspect of games, and just experience design "
interactors,1,1,interactions | interacts | interdictors,likely misspelling / mishearing,salon-019," was kind of a goal for VR. To have multiple interactors somehow.  So... Sorry, lost my cursor. And t"
interactml,1,1,,"check: unusual word, term or non-English",salon-099,"oo gloves, with flex sensors, and I also use InteractML in Unity to trigger changes both in the game"
intelle,1,1,Intel,likely misspelling / mishearing,salon-094,n the landscape around. Because I use... The INTELLE ATM at 150 is so good as a place to get a di
integrational,1,1,integration,likely misspelling / mishearing,salon-099,emain distinguished as a scholar within that integrational set. I wrote poetry in order to explain myse
insurkey,1,1,,"check: unusual word, term or non-English",salon-060,s that's what we did and we did that for the insurkey not this was the first time that we had this
instrumentalized,1,1,,"check: unusual word, term or non-English",salon-102,"osite… often the opposite, where artists are instrumentalized by science to help science communication, so"
instrumentalization,1,1,,"check: unusual word, term or non-English",salon-102,"ring themes of energy, waste, labor, and the instrumentalization of bodies.  I think as a whole, all of these"
inst,1,1,int | ins | inset,likely misspelling / mishearing,salon-085,is from my personal garden.  And often on my inst. On my Instagram and Facebook posts. I will 
inspite,1,1,inspire | in spite | in-spite,likely misspelling / mishearing,salon-103,eativeIs mere charts At each presentation To inspite of young artists Who wanted to spend their l
inspirationism,1,1,inspirations,likely misspelling / mishearing,salon-095,d you know like they have like you know like inspirationism like Judaism pop art like more Western but n
inshot,1,1,incite | inchoate | in-shot,"check: unusual word, term or non-English",salon-031, that I can get mobile. So I have been using InShot and other things like that. Just things that
inkscape's,1,1,inscape's | inks cape's | inks-cape's,likely misspelling / mishearing,presentation-008, have used Open Brush and Gravity Sketch and Inkscape's an excellent free vector drawing tool and GI
initi,1,1,Inuit | init | innate,likely misspelling / mishearing,salon-099,"erated in 2025. I… Take pictures of myself.  Initi… anyway, these are some early pieces that ar"
inimpressive,1,1,unimpressive | in impressive | in-impressive,likely misspelling / mishearing,salon-109,rom einfach necessary gave me one on YouTube inimpressive language when hang don't seem like different
inha,1,1,inna | inga | Nihau,"check: unusual word, term or non-English",salon-100,me up as well with bei Wilpert Ke planes ad��inha Lee Rel Lebenssche zur nh introduce season 3
infogrames,1,1,,"check: unusual word, term or non-English",interview-007,ey got bought off by a French company called Infogrames. Our deal with Hasbro International went dow
influencey,1,1,influencer | influence | influences,likely misspelling / mishearing,interview-013,re of the kind of the day of the dead creepy influencey kind of stuff more school work more kind of 
indra,1,1,India | Indra | infra,likely misspelling / mishearing,salon-012,"back with a German drum and bass musician in Indra Soler, which, you know, after he released th"
indonesia,1,1,Indonesia | Indonesian | indonesiga,likely misspelling / mishearing,salon-102,"polar regions, inside of active volcanoes in Indonesia and Ethiopia, to the desert of western China"
indigeneity,1,1,indignity,likely misspelling / mishearing,salon-045,"ut with, you know, all water-based material, indigeneity, all these sorts of things. And, you know, t"
indiegogo,1,1,,"check: unusual word, term or non-English",interview-006,lling that sand table with the he did he did indiegogo for that sand table with the with the marble
indiebound,1,1,,"check: unusual word, term or non-English",salon-012,". And it's better, of course, to get it from IndieBound than Amazon. But, you know, it's up to you. "
indian-persian,1,1,,"check: unusual word, term or non-English",salon-021," source material. And so looking back at the Indian-Persian manuscript, this is a piece, you know, movin"
india's,1,1,India's | Indians | Indian's,likely misspelling / mishearing,salon-058," of Modern Art, Nodalhi and many more.  I am India's major digital art collector. I have more tha"
incred,1,1,incurred | inched | inured,likely misspelling / mishearing,salon-101," AI Automaticorno horizontal Free hacker Cop incred Yeah, that'd be great. Sure.  Yeah, I mean, "
incons,1,1,icons | incense | icon's,likely misspelling / mishearing,salon-106,ed. All kannstolden. All lieu de trouver des incons zawsze? Yes. It will be presented in augment
inclusionism,1,1,inclusions,likely misspelling / mishearing,interview-026,"a few salons, I was impressed by the group's inclusionism and friendly demeanor. And here I am feeling"
inarp,1,1,inari | inwrap,likely misspelling / mishearing,salon-103,hat são métodos editoriais dist measurements Inarp Jessup situations where artists correct scen
inapossibility,1,1,inaccessibility,likely misspelling / mishearing,interview-019,master in textile design in so my school was inapossibility for me and my art definitely my main subject
improvisationally,1,1,improvisational | improvisation ally | improvisation-ally,likely misspelling / mishearing,salon-104,", and so they are composed spontaneously and improvisationally, but there is definitely composition there, "
imovies,1,1,movies | iMovie's | iMovies,likely misspelling / mishearing,salon-070,"yping anything. It's all on my iPad. Not the iMovies on my desktop, but an iMovie on iPad is, it'"
imovie's,1,1,movies | iMovie's | iMovies,likely misspelling / mishearing,salon-070, those have a lot of filters and options and iMovie's really kind of sort of restricted. So someti
imogen,1,1,Imogen | Imogene,likely misspelling / mishearing,salon-103,"ools like Photoshop and illustrator. There's Imogen developed inside Google, mainly shown in Goo"
immigrante,1,1,immigrants | immigrant | immigrate,likely misspelling / mishearing,salon-023," This one's Get Out the Vote. This one is La Immigrante. And, again, the border crossings. This was "
immersiveness,1,1,,"check: unusual word, term or non-English",salon-083,nd of you know what these images sort of the immersiveness of these images. And you know I played with 
immer,1,1,simmer | emmer | dimmer,likely misspelling / mishearing,salon-072,rticipation with deaf communities and presup Immer Additional info information comes In order f
immaterialization,1,1,,"check: unusual word, term or non-English",interview-008,"e getting to this. We're moving towards this immaterialization. World. And that's also, even though you're "
imitizing,1,1,imitating,"check: unusual word, term or non-English",salon-023," suggestions.  Well, there's a lot of the 3D imitizing of Van Gogh paintings. That's very popular. "
imguire,1,1,impure | immure,"check: unusual word, term or non-English",salon-077,"s to have been saved somewhere, either using imguire, or for in my case I'm using my squarespace "
imas,1,1,ima | Xmas | MIAs,likely misspelling / mishearing,salon-080," until right before Covid, I worked for Dave Imas, who was who is incredibly talented. Cartogr"
iman,1,1,man | Ian | ima,likely misspelling / mishearing,salon-074,back up. And I just want to say we also have Iman here from Iran today. That's right. Yes. Tha
imaginee,1,1,imagine | imagined | imagines,likely misspelling / mishearing,salon-058,"actice from 2008.  I am vulnerable member of Imaginee Poesia, one of the international artistic li"
imagenet,1,1,imagine | imagined | imagines,likely misspelling / mishearing,salon-043,k images it dips into a vast database called imagenet and finds images and then you can see the im
imac,1,1,ima | Mac | iMac,likely misspelling / mishearing,salon-037,n the fly and it's a great app. And I had an iMac 27-inch that was chugging along and I finall
ils,1,1,its | pls | ill,"check: unusual word, term or non-English",salon-109,"ngers Underwater abroad internet bridge rock ils Photoshop, basically.  And the reason it's i"
illustrationist,1,1,illustrations,likely misspelling / mishearing,salon-031,"his is a doodle. I'm not like a professional illustrationist, and I, but some occasionally I really like "
illio,1,1,ill | illic | illii,"check: unusual word, term or non-English",salon-042,"at he provided. I don't know if it's Elio or Illio. But he... What he said was, in my generativ"
ikea,1,1,Ikea | idea | kea,likely misspelling / mishearing,salon-023,"n the wall? I've been using. I've been using Ikea.  Curtain hardware. Ikea, the, the furniture"
ijer,1,1,ajar,"check: unusual word, term or non-English",salon-080,"ger. And then there was a Meyer that was me, IJER. And those were the 2 supermarkets, neither "
iis,1,1,its | is | his,"check: unusual word, term or non-English",roundtable-005," probably in elementary school. We had Apple Iis, and there was a program, or actually a prog"
iie,1,1,ice | tie | die,"check: unusual word, term or non-English",presentation-003, began using computers in 1981 with an Apple IIe. That's impressive. Current computer system 
ihremsorry,1,1,,"check: unusual word, term or non-English",salon-090,as HTML Data Administration as well as Cyber ihremSorry citizen speech topics as well as important t
igor's,1,1,Igor's | rigors | rigor's,likely misspelling / mishearing,salon-011,"w, you know what? Please come to the talk in Igor's class. You know, if you can. So, you know, y"
idubbbz,1,1,,"check: unusual word, term or non-English",salon-009,"r, you're going to be able to make that much iDubbbz the same as the it's all about the size.  So"
ido,1,1,do | idk | id,likely misspelling / mishearing,salon-106,", I'm really not the first. Some people like Ido Stern was doing it before with C-Level and t"
idmagallery,1,1,,"check: unusual word, term or non-English",salon-045,ust for the call to works.  It's going to be idmagallery.org. Probably up by the end of next week and
icularly,1,1,ocularly,likely misspelling / mishearing,salon-109,re there would be additional peer gathering �icularly fear entry programs which were provided by s
icuban,1,1,Cuban | cuban,likely misspelling / mishearing,salon-085,"ranging videos on Youtube. And I had studied Icuban in Japan many, many years ago. So I thought,"
icia,1,1,icic | ilia | icier,"check: unusual word, term or non-English",salon-106,l as well. I am also serving in the board of ICIA International. Perhaps also you have heard a
ichabana,1,1,,"check: unusual word, term or non-English",salon-085,r me. I during Covid I was watching a lot of Ichabana Flower ranging videos on Youtube. And I had 
ibeam,1,1,beam | abeam,likely misspelling / mishearing,salon-032,"like 15 years. We worked a lot with rhizome, ibeam, smack melon, a lot of grants and supports f"
hypstatic,1,1,hypostatic,likely misspelling / mishearing,salon-085,e the Native image and then go through these hypstatic image. So I'm just gonna go through the rose
hypia,1,1,hype | hyper | hypo,"check: unusual word, term or non-English",salon-057," the stimulated fear of a pandemic and cause hypia that some disaster was going to happen, that"
hypey,1,1,hype | hyper | hyped,likely misspelling / mishearing,interview-018,o you talk faster than I do I told you I was hypey you're so fascinating this has been a wonder
hypervigilance,1,1,hyper vigilance | hyper-vigilance,likely misspelling / mishearing,salon-027,"tly.  There's actually a poem in there about hypervigilance, because I'm constantly watching, constantly"
hypertransformation,1,1,hyper transformation | hyper-transformation,likely misspelling / mishearing,salon-079," of mine. And that's not a bad typo. This is hypertransformation. 19 from 1,975, which is actually pre comput"
hyperspaces,1,1,hyperspace | hyperspace's | hyper-spaces,likely misspelling / mishearing,salon-042,"ng terrain and technology through craft lush hyperspaces, which offer both confusion and comfort toge"
hyperglyphics,1,1,,"check: unusual word, term or non-English",interview-003," while, but I feel like we're the new visual hyperglyphics of, of language. It's a universal one."
hydraological,1,1,hydrological,likely misspelling / mishearing,presentation-003,orks with climate variability and change and hydraological cycles and she looks at historical records a
hurtado,1,1,hatred | hotrod | hurt ado,"check: unusual word, term or non-English",salon-028,"bit of fun with that. And then that's Lucita Hurtado, an artist who was a very dear friend of min"
hurley,1,1,Hurley | Harley | burley,likely misspelling / mishearing,interview-015,"as born in Baltimore, Maryland. I grew up in Hurley and then Kingston, New York. I have two youn"
hurbois,1,1,hubris,"check: unusual word, term or non-English",salon-042,lor in Painting Therapy by Leanne Gallaud de Hurbois. The book gives very detailed written descri
huntington,1,1,Huntington,likely misspelling / mishearing,salon-038,"r parts of LA or, or whatever. I don't know, Huntington beach, You can go there and you can sort of "
hungary,1,1,Hungary | hungry,likely misspelling / mishearing,roundtable-005,"kow, Poland, and my mom was from Budapest in Hungary. They're city people, and they always took u"
hundert,1,1,hundred,"check: unusual word, term or non-English",salon-082,"s influenced from Gustav Klimt and Friedrich hundert foster A, and it's not easy to make gold loo"
humorizing,1,1,humoring | humanizing,likely misspelling / mishearing,salon-022,ng the presidential debate. Yeah as a way of humorizing it. This is I drew the insurrection the medi
huit,1,1,hit | hurt | quit,likely misspelling / mishearing,salon-063,"in this particular piece. This one is called Huit Clos.  In English, we know this is no exit. "
hughes,1,1,Hughes | Hugh's | hushes,likely misspelling / mishearing,salon-064," make yourself ill. Well, you know, Langston Hughes and also scriptures speak to that, that hope"
hugh,1,1,high | Hugh | hugs,"check: unusual word, term or non-English",salon-080,"t a work the other day from an artist called Hugh Messi, who works with stitch, like automated"
hudsburg's,1,1,,"check: unusual word, term or non-English",salon-044," So beautiful work. Next, assisting in Carol Hudsburg's work. I'm going to take over the presentatio"
hudo's,1,1,kudos | Hugo's | HUD's,"check: unusual word, term or non-English",salon-025," case you didn't notice, this is from Margie Hudo's series called the Excavation Series.  And I "
huanyi,1,1,haunt,"check: unusual word, term or non-English",salon-028,"a good model, I think, you know. I think GH, Huanyi Man, it's hard to say his name, but I think "
hu,1,1,hi | hue,"check: unusual word, term or non-English",salon-077,"t the example again, so I'll walk through in Hu, you know a after I save the at the end of t"
hoty,1,1,holy | hot | hoy,"check: unusual word, term or non-English",salon-084,"berry Street, which is where all the sort of hoty toy galleries were, and it brought in my wor"
horus,1,1,hours | Horus | chorus,likely misspelling / mishearing,salon-027,"I also took like the idea of like the eye of Horus, it also means protection, so it's watching "
horowitz,1,1,Horowitz,likely misspelling / mishearing,roundtable-006,"with an exhibition At a gallery called Glenn Horowitz in East Hampton, and the gallery was able to"
horlingen,1,1,harlingen | Harlingen,likely misspelling / mishearing,salon-095,"we need this she wasn't exactly exactly into horlingen because did your mommy stop eating, baby?"
horatzko,1,1,,"check: unusual word, term or non-English",salon-095,ans are abiding by and then you know artists Horatzko or various artists from that time are typing
horace,1,1,Horace | hoarse,likely misspelling / mishearing,interview-028,"e, and I loved. I loved reading Catellus and Horace, and like lots of those Latin writers, but I"
hookstratten,1,1,,"check: unusual word, term or non-English",interview-030,"And it was influenced by this Dutch painter, Hookstratten, and it was actually the… one of the early, "
hoofy,1,1,goofy | hoody | hooey,likely misspelling / mishearing,salon-092,"ng white to me, bearing a wedding dress or a hoofy dress like that.  Yeah, so, okay. But I time"
hoodl,1,1,hold | hood | hoods,"check: unusual word, term or non-English",salon-017,y to come behind an artist and do that.  Any hoodl we have five minutes left in our regularly s
hong-yeon,1,1,hong-yen | hong-neon | hong-yeen,likely misspelling / mishearing,salon-101," Seoul led to an invitation from the curator Hong-Yeon Mok from GMAP. And she said, Oh, how wonderf"
homoestheticus,1,1,,"check: unusual word, term or non-English",interview-018,"len Dasaniaki said in her book in the 90s, a homoestheticus, it's a sociobiological need in the human sp"
hololens,1,1,HoloLens | hollowness,likely misspelling / mishearing,salon-019," market and what Microsoft is doing with the HoloLens 2 and other things is... I mean, when we wer"
hollywood's,1,1,Hollywood's | Bollywood's | hollywoods,likely misspelling / mishearing,interview-029,"l Applications, which was made for educating Hollywood's effects artists."
hokusai,1,1,Hokusai,likely misspelling / mishearing,interview-001,"you know, also Japanese woodcut artists like Hokusai and Hiroshige influenced my work in terms of"
hofstetter,1,1,,"check: unusual word, term or non-English",salon-018,"eat book called Goldil Escher Bach.  Douglas Hofstetter. It's a great book. If you haven't read it, "
hofstadter,1,1,Hofstadter,likely misspelling / mishearing,salon-099,"with Clara Francesca here, with Katie Payton Hofstadter, and with Nang Lei, we co-founded the Aurora"
hockney's,1,1,hockey's | hackney's | hackneys,likely misspelling / mishearing,salon-038,"it, I thought back a little bit, about David Hockney's artwork that he did, taking and stitching ph"
hoberman,1,1,Doberman | doberman,likely misspelling / mishearing,interview-029,"as later. At that point, she was with, Perry Hoberman, and… who's also a fantastic early intermedi"
hobart,1,1,Hobart | Hobert,likely misspelling / mishearing,salon-019,nd that was from an exhibition at Hoagland.  Hobart and William Smith College. This was a simula
hoagland,1,1,Hoagland,likely misspelling / mishearing,salon-019, display. And that was from an exhibition at Hoagland.  Hobart and William Smith College. This was
hnc,1,1,inc | hoc | vnc,"check: unusual word, term or non-English",salon-072,"point, also I use the sound editor, which is HNC. And I take it from there. I'm going to show"
hixlow,1,1,,"check: unusual word, term or non-English",salon-044,"z through. This is my latest piece, which is Hixlow Station also. And there are 72 panels, eight"
historia,1,1,history | historic | historian,likely misspelling / mishearing,salon-102,"s' Inquiry into plants, in Pliny the Alder's Historia Naturalis, where it's described.  And I took"
histor,1,1,history,likely misspelling / mishearing,salon-080,The effect of the shift in the view of using Histor historical. We marginalize people using that
hirschman-leeson,1,1,,"check: unusual word, term or non-English",salon-022," is there's a show at the new museum of Lynn Hirschman-Leeson, who I've admired for a long time. And she's"
hirschberger,1,1,,"check: unusual word, term or non-English",roundtable-005,"nd one of them actually was this guy, Andrew Hirschberger, who was an art historian, and he, you know "
hiroshige's,1,1,Hiroshima's,likely misspelling / mishearing,salon-091,fter I'd seen an image come. It was actually Hiroshige's The Great Wave come in on a fast connection 
hiroshige,1,1,Hiroshima,"check: unusual word, term or non-English",interview-001,so Japanese woodcut artists like Hokusai and Hiroshige influenced my work in terms of the line qual
hipstramatic,1,1,,"check: unusual word, term or non-English",salon-085,he fall. If you water them.  I love what the hipstramatic camera does. And oftentimes I then use these
hipstatic,1,1,hip static | hip-static,likely misspelling / mishearing,salon-085," This is one of my favorite filters from the hipstatic camera app because it references, the perspe"
hippolito,1,1,,"check: unusual word, term or non-English",salon-083,"now there were. I had 2 painting professors, Hippolito and Shapiro and Shapiro said to us.  You kno"
hinkes,1,1,Hines | hinges | hikes,likely misspelling / mishearing,salon-042,"from the voltaic realm. And, low vid is Tali Hinkes and Kyle Lapidus."
hindi,1,1,Hindi | Cindi | hind,likely misspelling / mishearing,interview-011," this is Ajna 1, Ajna 2, Ajna 3. Ajna is the Hindi word for chakra. For the sixth chakra. The o"
himalayas,1,1,Himalayas | Himalayan | himalayans,likely misspelling / mishearing,roundtable-002,"tan. Tintin, Tibetan. It's a monument in the Himalayas. And the brush enables you to change the col"
hildesheim,1,1,Hildesheim,likely misspelling / mishearing,salon-020,"ght festivals. This is an old, old church in Hildesheim, Germany. They were really worried about the"
hiket,1,1,hiked | hikes | hike,likely misspelling / mishearing,salon-014,"heading towards like the platform I'm using, Hiket Nunk that I think they are, they just two da"
higgins,1,1,Higgins | highs | highness,likely misspelling / mishearing,salon-011,I'm a intermediate artist in the kind of the Higgins tradition and that sort of thing. And that i
higa,1,1,high | giga | hiya,"check: unusual word, term or non-English",presentation-009,olleague of Roy Nicholson at LIU named Yoshi Higa. Who is a photographer primarily. But I reme
hieronymus,1,1,Hieronymus,likely misspelling / mishearing,interview-030,"work was the fact that even though I'd known Hieronymus Bosch's work, and particularly The Garden of"
hier,1,1,her | hire | tier,likely misspelling / mishearing,salon-107,ineellschaft wird wirklich beschrieblich wie hier sehen Sie bis durch Trans immense attempted 
hicketnuke,1,1,,"check: unusual word, term or non-English",salon-027,"he one on the right was actually uploaded on HicketNuke, which is why it's titled NUNK, which I can'"
hicketnonc,1,1,,"check: unusual word, term or non-English",salon-030,"hich are foundation and you know, I did some Hicketnonc and then I posted some on OpenSea. And I hav"
hicket,1,1,ticket | wicket | thicket,likely misspelling / mishearing,salon-034, born out of the inability to do auctions on Hicket Dunk. Yeah. And then when the big exploit ha
hexfiend,1,1,hex fiend | hex-fiend,likely misspelling / mishearing,salon-013,l it was 14 and a half thousand pages I used hexfiend to do that and my printer could only print a
hershberger,1,1,,"check: unusual word, term or non-English",interview-001,"or is an art historian by the name of Andrew Hershberger. And those three people were definitely, you"
herschel,1,1,Herschel | Hershel | hershel,likely misspelling / mishearing,salon-052,". Cynthia D Donato, M.D.: At the smithsonian herschel on museum and sculpture garden Mexican Canad"
here'sery,1,1,,"check: unusual word, term or non-English",salon-098, their concert hall in general.  Now with us here'sery chance and enjoy this eight minute assimilat
herbie,1,1,Herbie | herby | herbier,likely misspelling / mishearing,salon-099, took the effort for it. This is a pastel of Herbie Hancock.
herbert,1,1,Herbert | Hebert,likely misspelling / mishearing,salon-103,d some of my other works It's written by E.  Herbert an art historian Because he talked about tea
henschflager,1,1,,"check: unusual word, term or non-English",interview-029,"a… he's a very well-known media artist, Kurt Henschflager, who does immersive very expressionistic, su"
hemispheriums,1,1,,"check: unusual word, term or non-English",salon-019,"early days when I was working with caves and hemispheriums and stuff there were. You know, I'd go to th"
helmholtz,1,1,Helmholtz,likely misspelling / mishearing,salon-101,"allery I'm showing with and here in Vermont, Helmholtz Fine Art, the woman said, you know, can you "
heilman,1,1,Hellman | Heinemann,likely misspelling / mishearing,interview-029,"ke, this one, I actually painted a fake Mary Heilman painting underneath of it."
hegel's,1,1,Hegel's | heels | heel's,likely misspelling / mishearing,salon-091,"se people with German backgrounds, men.  And Hegel's phenomenology of mind, of when something bec"
heelbie,1,1,Helene,"check: unusual word, term or non-English",salon-103,"th describe, exciting artwork that addresses heelbie themes that são métodos editoriais dist meas"
hedery,1,1,hedgy,"check: unusual word, term or non-English",salon-052,"cs and art, and that's going to be with Jack Hedery. And he just did a he just sold his company "
heckscher,1,1,huckster,"check: unusual word, term or non-English",salon-027," result of that, we are now connected to the Heckscher Museum of Art and the Dove Block Gallery in "
heckmans,1,1,heck mans | heck-mans,likely misspelling / mishearing,salon-046,"thought was really kind, our director, Davin Heckmans, one of my academic partners in the departme"
heavenjo,1,1,heaving,"check: unusual word, term or non-English",salon-103,images or również Deputy graphics created by Heavenjo space educational Zen ó Ray Nar descascados 
heatley,1,1,healthy | Wheatley | hgeatley,"check: unusual word, term or non-English",salon-045,"eally great photographer by the name of Jeff Heatley. And he, let's see."
