type,recording,context
same word twice in a row,salon-078,"t just to jump on the Nfc. Bandwagon, but also to play play with the idea of the written word within a book, "
same word twice in a row,salon-078, sometimes a Of mental and physical contortion to deliver deliver your work in a in a way that lands true to this w
same word twice in a row,salon-078,"ally impossible to have your text be legible. And most most of the time II don't want to do that, but in this"
same word twice in a row,salon-078,f it's a question so much. But I really liked the Karen Karen's sound use in her piece. This is this child like
same word twice in a row,salon-078,"ople use all, all of you, I think, have different little little apps that you've discovered that make your work s"
same word twice in a row,salon-078,"Okay, yeah, that's a great great suggestion. Great request."
same word twice in a row,salon-078, something in the schools that kids actually like around around Texas poetry. And if they can be my hat for anyth
same word twice in a row,salon-078, why I haven't done it yet. I think it's a little bit bit of a bigger grab than the Latin languages. But I 
same word twice in a row,salon-078, mandarin and English and that group. So that's a good good reminder. She's going through what she has to do 
a / an mismatch,salon-078,", out in, I think it was lack my because they had an video contract or support. So I put together propo"
same word twice in a row,salon-078,Oh. Well. Think we should wrap wrap things up and do the after party afterward.
same word twice in a row,salon-079," to generate them. Saw the world in different way than than we do. It we tend to be able to. Yeah, it's like "
same word twice in a row,salon-079,"et into the, the actual neighborhoods throughout. Throughout throughout Tokyo. So again, it's sort of the larger experien"
a / an mismatch,salon-079," photographers is how to, you know, maybe present a object in a flat surface. So here's a new Solution"
a / an mismatch,salon-079,"ght about this.  Really, I first thought of it as a interactive artwork. But then, as I was considerin"
same word twice in a row,salon-079,iting crib notes. Making a wave with the camera.  Even even looking up at the at the treetops and spinning ro
same word twice in a row,salon-079,"rtical really comes, turns into these shapes. And speaking speaking of stars The next body of work that I've been wor"
same word twice in a row,salon-079," to buy all of them before anybody gets them. I'm kidding kidding. Please buy an old one, and I'll help you with th"
a / an mismatch,salon-079,"Yeah, I was really curious about a couple a aspects of inspiration from you all the. The adage"
same word twice in a row,salon-079,nto which kind of takes you into like some of the photo photo grametry sort of work that artists like Carla Gan
same word twice in a row,salon-080,reg regular jobs for a number of years during the day day jobs. Most of them were part time. Occasionally t
a / an mismatch,salon-080,he jobs that I've done over my lifetime career as a artist.  Once I decided to stop doing almost full 
a / an mismatch,salon-080,"Which I was happy about a also, when, in the beginning of my career. I was"
same word twice in a row,salon-080,"transparency film off.  It actually transfers the pigment pigment from the film to the substrate, so it essentially"
same word twice in a row,salon-080,"company that made this film, and primer is called Das das ss, which is like digital art supply something or"
same word twice in a row,salon-080," company called Ink Aid, that I believe they make similar similar products, and they make a primer that I use quite"
same word twice in a row,salon-080,"Meet at 2 25 a pound. That's something something notable. Thank you very much, Colin. Yeah. Now, I"
a / an mismatch,salon-080,rally giving the artists money for their token as a indication that you support them and their lifesty
a / an mismatch,salon-080,"ashion. So fashion is, and physical's are kind of a interesting area to explore. There's also the conc"
same word twice in a row,salon-080,"you know. Time and wasting time, or you know. And money money talks. That was the other thing that's a big piec"
same word twice in a row,salon-080,Sure sure and I just want to say that they cover really qui
same word twice in a row,salon-080,"e time, and it's right in the heart there. Lot of urban urban is always been a big influence. Saxophone player "
same word twice in a row,salon-080,"nto the chat.  So that's all I wanna say, I wanna thank thank everyone in this group. Thank you for your observ"
same word twice in a row,salon-081,"ying to really push and ecow, and. You know. Just make make something that I'm sort of happy with. So I've go"
a / an mismatch,salon-081,A actually is there any chance? I can go at the end 
same word twice in a row,salon-081,Gotcha gotcha! No worries. Could you? Just share a little bit o
same word twice in a row,salon-081,"Gotcha gotcha awesome. Well, sounds like a really interesting e"
same word twice in a row,salon-081,on work that I printed out. These are collages of theater Theater photographs. Employee really see how many screens
same word twice in a row,salon-081,"e. Thank you. Hi, everybody. My name is Lucy Boyd-Wilson Wilson. I'm here in San Diego. I create animated works, "
a / an mismatch,salon-081," Their gallery in Carlsbad, in San Diego, opening a april fourteenth will be on for 2 months, and the "
a / an mismatch,salon-081,"y and or Carrie, and just to give a little bit of a introduction to the collaborative exhibition that "
same word twice in a row,salon-082,"alking around, and that infuriated him, he became super super angry, even more angry than he already was. Get t"
same word twice in a row,salon-082,f. I can't see you guys are gonna kill me. He was super super angry about the light. In a more innocent time Ga
a / an mismatch,salon-082,"o's commissioning me I own 0. He's a champion for a education in Georgia, and has affected so many peo"
same word twice in a row,salon-082,"nk with water pipe pump and a broken broom handle wedged wedged between cabinet handles.  I shiver. Don't worry, "
same word twice in a row,salon-082,ative that ends up being from all that detail. So thanks thanks for sharing the story. Thanks for sharing your ar
same word twice in a row,salon-082,ith that. Mostly. I'm manipulating the background around around the faces.  And I did a series of animations for 
same word twice in a row,salon-082,ou can see some of it is AI generated. And then I put put my own work over top of that. I show you this one
same word twice in a row,salon-082, of view. And as for 3D. You know I'm doing these flat flat pieces with thousands of images in them that I do
same word twice in a row,salon-082,standing because of Hansel and Gretel aspect. But both both of your stories felt very. Dreamlike in some rega
a / an mismatch,salon-082," do when I write is, I think of it as my brain as a organic highway to information. If that makes sens"
same word twice in a row,salon-082, untruth that is out in the world right now. So I thank thank all of you for sharing that. I don't know what ot
a / an mismatch,salon-082,"rd with one painting, or it's a series of or it's a animation with spoken story like I showed in the p"
same word twice in a row,salon-082,"ight over all these all the time, and this is the first first time all semester. I've actually had time to be h"
a / an mismatch,salon-083," the world of art and identified as an artist, as a identified myself as an artist when I was a photog"
same word twice in a row,salon-083,"Right on. Well, you know, every every name or word has its own individual personal conn"
a / an mismatch,salon-083,t and whatnot. And it has since branched off into a online store where class members and other members
same word twice in a row,salon-083,". I was surprised, you know, to find out how many pathways pathways had delved into that area. And I think it was bec"
a / an mismatch,salon-083, is specifically branded for the reunion. This is a image that I'm very fond of. At Bryn Mawr we had t
same word twice in a row,salon-083," I was muted. Can everybody see my screen of John Berger Berger? I think it is well, I'm gonna go back in time a "
a / an mismatch,salon-083,"ed about. I don't remember if we had 88 colors on a amiga, or quite what computer I had at this point."
same word twice in a row,salon-083,Okay. Gotcha gotcha. Yeah. She had a very interesting interview. That
same word twice in a row,salon-083,"ists relate to what he did. He had a pretty large volume volume, volume of you know, pre digital work as well. Tr"
same word twice in a row,salon-084,"ss of the work is that it has a universality that everyone everyone can feel in their hearts somewhere. Okay, with th"
same word twice in a row,salon-084,"f let's see. Sorry The idea of A picture.  There! Having having a particular like, almost like a stage. And I'm r"
same word twice in a row,salon-084,"sement, whatever it is, you know what I mean. And having having gelled those 2 things together, kind of allows me"
same word twice in a row,salon-084,Gotcha gotcha. So yeah. And our divide is also something that i
a / an mismatch,salon-084,"hank you, Stephanie. It's great. She's been quite a incredible woman in the world of film as a profess"
same word twice in a row,salon-084,"way from the group and think, oh, I think I might enter enter Integrate that into my work. So I feel an interde"
same word twice in a row,salon-084,"Point point of view, or you know, you can come up with a bett"
same word twice in a row,salon-084,ery interested in it because of the Byzantine and non non Western kinds of work. And anyway.  I'll see you 
same word twice in a row,salon-085,"ll these people. Robert Green, worker associates, big big time players in this show, also working at the Wo"
same word twice in a row,salon-085,"rs, and live near as well, and things just looked up up. I mean, you know what could go wrong. Well, you "
a / an mismatch,salon-085,"ctive of reverence and containment and worship of a icon that was already thousands of years old, that"
same word twice in a row,salon-085,"red and then blended, but offset the blend. So to give give, so that causes interaction between the colors an"
same word twice in a row,salon-085,s by 3 curators. And they each say very different things things that I wouldn't necessarily have thought about my
a / an mismatch,salon-086,ofs and Cynthia Di Nonato's works here which have a interesting dialogue going on and then we also hav
same word twice in a row,salon-086,"e nucleus of the central characters, and as is in quantum quantum mechanics, electrons obey the Heisenberg uncertai"
same word twice in a row,salon-086,s in a third place. And that's where Google Earth VR VR is. Sort of like now become just a metaphor for t
a / an mismatch,salon-087,"click the next, and here we are.  So this site is a elegant and intimate way of experiencing the art w"
same word twice in a row,salon-087,hank you. Maybe I was. Sorry. Yeah. Thank you. DA QUESTION QUESTION admin Did you want to speak to your work? Yeah. T
same word twice in a row,salon-087,k you for including me in this show thank you Lee wonderful wonderful like a fine wine it takes time Burgum by Malavika
same word twice in a row,salon-087,e Burgum by Malavika Manjulandru is Malavika yeah hi hi thank you Mona for organizing the beautiful exhib
same word twice in a row,salon-087,der and lightning storms and the sprites are like red red lines that come down or something I guess they're
same word twice in a row,salon-087,cutting work so let's move over here to our other cynthia Cynthia Beth Rubin who cannot join us today happy rosh ha
doubled punctuation,salon-087,k you many thanks great asking How did that happen..
same word twice in a row,salon-087,stunning light work happening here thank you yeah bernada bernada bernada bernada bernada yes thank you bernada ber
same word twice in a row,salon-087,ork happening here thank you yeah bernada bernada bernada bernada bernada yes thank you bernada bernada bernada tel
same word twice in a row,salon-087,ada bernada bernada bernada bernada yes thank you bernada bernada bernada tell us about your work bernada well firs
same word twice in a row,salon-087,an nft don't know how to do it he said no you can still still participate so I'm delighted to so I keep I work 
a / an mismatch,salon-087, Observing a layering process that is technically a innate tool of the phone itself.  Not making it in
same word twice in a row,salon-087,"e we go we have chapter three bye Galina, shvenko hi hi I'm here well I'm so thankful to be included in t"
same word twice in a row,salon-088,"f the images no, the woman she's looking out with her her hands. But maybe it was the 1st image where she's"
same word twice in a row,salon-088, That English isn't English now the lingua franca only only because of British colonization. Is that true? Do
same word twice in a row,salon-088,"ages.  And there's a small prompt box, because in viscom viscom can render without prompt. And at the left I just"
a / an mismatch,salon-088,"And then that could be taken, and a actually 3D. Printed so you could go to From a lin"
same word twice in a row,salon-088,"done from okay, I guess I'm revealing age getting older older and better in some ways. But this is 1973. It's m"
a / an mismatch,salon-089,"d interrupt from the computer signaling, which is an signal. Interrupt is a signal that requires the op"
same word twice in a row,salon-090,h became part of my custom 24-bit S100 bus custom computer computer. I also bought a 3D printer and a 3D printer grap
same word twice in a row,salon-090,I laid it on a carpet to photograph I always left clear clear areas in each one of the flexi pieces and I was r
same word twice in a row,salon-091,book Magic Mirror of M.C. Escher and this book on Polyhedra Polyhedra Visual Approach by Anthony Pugh is a brilliant bo
same word twice in a row,salon-091, Fuller community. These are two other books that perception perception and mysticism separate reality. The Carl's Castan
a / an mismatch,salon-091,e had David and we had Rebecca Allen. So that was a exciting moment. And it just began the 1990s. They
same word twice in a row,salon-091,", they're free. We're an artist run organization, everything everything that happens here is volunteer based. So yeah, th"
same word twice in a row,salon-092,. So the artists presenting today are Ariel Baron-Robbins Robbins System.  Michael Pierre Price and Randi Matushevi
same word twice in a row,salon-092,"one of them. And our 1st presenter is Ariel Baron-Robbins Robbins, who is an interdisciplinary artist and academic "
same word twice in a row,salon-092,And it's very. It's nice to see that there's some people people capable of pulling off a deep fake that are on ou
a / an mismatch,salon-092, been a practicer of indigenous spirituality. And a amateur neuroscientist in terms of learning things
same word twice in a row,salon-092,eepy like. They just made this dude come in there into into the into the scene. And now he's just kind of lik
same word twice in a row,salon-092,he intention for printing. And so there's a whole set set of steps that I have to go through.  And it's rea
same word twice in a row,salon-092,isi. So yeah. So now in Moscow. Don't know. Maybe until until summer or longer. Not sure yet.
same word twice in a row,salon-092,"em was saying, that it's about the ethical use of AI AI, cause it's here. It's here. It's here in our lan"
same word twice in a row,salon-092,of stuff. And you know your work definitely makes me me think about all that kind of you know. Those sort
same word twice in a row,salon-093,l as contemporary musical incorporate versions of contemporary contemporary subjects like documentaries as well as took place
same word twice in a row,salon-093,wireframe series based on this body of work I was awarded awarded a full scholarship to the MFA computer art progra
sentence starts with a lowercase letter,salon-093,Thank you. genetics buena tan adalah Summit Management Toolkit
same word twice in a row,salon-093,trailer the first slide is a still from one of my pieces pieces of animation for the final work and I move betwee
doubled punctuation,salon-093, sketches here to embed within my 150 media stream.. This is a very important piece. And the reason th
a / an mismatch,salon-093,and beauty and fashion and fashion and fashion on an virtual basis. When it comes to sport and emotiona
same word twice in a row,salon-094,"work are part of our collection and we are slowly building building up a really kind of a comprehensive, comprehensiv"
same word twice in a row,salon-094,meet and greet at the lobby. So I guess maybe the next next thing is the artists in each individual artist wi
a / an mismatch,salon-094,"And we, we have the our playback system has a has a ability to not only showcase linear pre rendered c"
same word twice in a row,salon-094,usand six hundred. So it's like the equivalent of four four K screens lined up together.  So I'm just going t
a / an mismatch,salon-095,"who I worked for as a studio assistant when I was a undergraduate and Patrick Lifty, who I met in grad"
same word twice in a row,salon-095,faculty member yet? Or no we need this she wasn't exactly exactly into horlingen because did your mommy stop eating
same word twice in a row,salon-095, moment where whether people are you know in this group group or not they are kind of connecting to these thing
a / an mismatch,salon-095, difference between you know maybe a futurist and a expressions but I just think that kind of dialing 
same word twice in a row,salon-096,"ossibilities can come from. It's not static, it's always always creating.  And now we change perspective. Here we"
same word twice in a row,salon-096,t things that you might not seemingly ever expect together together. It's an endless form of fascination for me. I'm 
same word twice in a row,salon-096," building. Here's some stuff I've been doing with AI AI has come along at exactly the right moment, where"
a / an mismatch,salon-096,Yeah. Good question. It's definitely been a iteration in my thought process of Illustrating th
same word twice in a row,salon-096,"Gotcha gotcha. Yeah, I really enjoyed the fact that a lot of th"
same word twice in a row,salon-097, like my apartment which is sort of my art studio art art art gallery and at my son who's a mathematician i
sentence starts with a lowercase letter,salon-097,here was also These Variente artists Right there. customers from riding fast cars at mountain ranges 
same word twice in a row,salon-097,e too have you have you looked at the artists who used used you know painting in their you know in their proc
same word twice in a row,salon-097,ople other artists that use sort of like a sponge type type brush where it goes in and soaks it up and then t
doubled punctuation,salon-097,"hink it's really cool. And a lot of artists do use,, and this kind of, frameworks and yeah, but for me"
same word twice in a row,salon-098,really professional and lucy who's here Lucy Boyd-Wilson wilson the two of them have been working so hard on doin
same word twice in a row,salon-098,to keep everything normal if there be those folks please please share those changes those updates before ber Tag 
same word twice in a row,salon-098,"east a subject, you know, so it was just a really fun fun thing.  And I took all of their images very selec"
same word twice in a row,salon-098,"ind. So, you know, it's impossible.  So the whole digital digital going physical and back is it's an exciting thing"
doubled punctuation,salon-098,"k with if you're interested in learning more about,, that kind of, that kind of process where it'd be "
doubled punctuation,salon-098,"questions for any of the artists that presented or,, if anyone else would like to present, maybe we co"
a / an mismatch,salon-098,"e. Thanks, Anne.  Okay. So I saw that Erin Ko has a announcement about an open call she wanted to shar"
same word twice in a row,salon-100,t where urgench is which I've circled here within uzbekistan uzbekistan is really a desert country so there's a little ba
same word twice in a row,salon-100,h I'm about to show you. And it should start now. Clip clip clip clip clip clip Thank you. Thank you. And gre
same word twice in a row,salon-100,t to show you. And it should start now. Clip clip clip clip clip clip Thank you. Thank you. And great
same word twice in a row,salon-100,you. And it should start now. Clip clip clip clip clip clip Thank you. Thank you. And great
same word twice in a row,salon-100,"in. So he curated Japanese artists and he curated Italian Italian artists and then said to me, well, you could have"
same word twice in a row,salon-100,"in who exhibited and who were Uzbek.  And I found Kukla Kukla car. Sorry, I'm saying her name wrong. And I, I a"
same word twice in a row,salon-101,hoose the polygon it's upper left you can see the poly poly count okay you can see the count so you can choos
same word twice in a row,salon-101,low polygon poly Panda okay fast super smart fast smooth smooth struggling smoothaden smooth çek alternatives sof
same word twice in a row,salon-102,d bodies that then participate in action with one another another. Intraaction understands agency as not an inheren
same word twice in a row,salon-102,"ber of the Explorers Club, and works with Kristen Tierney Tierney Gallery here in New York. Well, I'm not in New Yo"
same word twice in a row,salon-103,tist out of phoenix arizona I want to welcome you today today is february the 5th 2026 and this is Techspressio
same word twice in a row,salon-103,sis in neuro dessemetics and cycles of modules of neural neural blurring and spatial��� at Yale University of Mar
same word twice in a row,salon-103,"radle bloom And arms reached Cleveland, we're now presumed presumed To close with this is not an epic tale Instead we"
a / an mismatch,salon-103,"e graphics, some of them are not AI. Like this is a installation shot from the exhibition in Chelsea t"
doubled punctuation,salon-103,"te it a little bit afterwards.  So fast forward to,, like when, I don't know, the last year or so I, I"
doubled punctuation,salon-103,"hed piece, of the one that was, in the video of me,, running through my printer. And that gives you a "
doubled punctuation,salon-103,.. Thank you. Thank you. Thank you. Thank you. Thank
same word twice in a row,salon-105,"More and more people.  And, I wanted to make it a global global… and I still do, and it started in 2000… and gett"
a / an mismatch,salon-105,"ating that. Outside. And journeyed back again. In an cyclical way. And, and your sculptures are… coming"
same word twice in a row,salon-106,th about making their own space and their own art through through that platform. Roz has a question. Thank you.
a / an mismatch,salon-106,Thing foreboding in the end. And yet there's such a idealism and beauty in the work. And I know in my 
a / an mismatch,salon-106,osite. Or not you're energy and computer. It just a energy is everywhere. And we can see now we exchan
same word twice in a row,salon-106,"n I do painting, I have a change. I exchange with painting painting tell me something I said okay but I prefer this b"
same word twice in a row,salon-106,nt bells and whistles or have you focused down to certain certain peripherals certain devices that you use that you
same word twice in a row,salon-107,Tuning Book Club pollution assessment engineering assessment assessment democracy MAEC Tuningnik Tuningnik Tuningnik Tuni
same word twice in a row,salon-107, engineering assessment assessment democracy MAEC Tuningnik Tuningnik Tuningnik Tuningnikwed It was a machine hell and 
doubled punctuation,salon-107,at love is the most powerful force in the universe.. Love is what I want to communicate as an artist. 
doubled punctuation,salon-107,alities to be effective in a hyper saturated world.. I see myself as an art scientist.. Early on while
doubled punctuation,salon-107,saturated world.. I see myself as an art scientist.. Early on while studying illustration and painting
doubled punctuation,salon-107,ty soon though I was making flying logos on my own..  Still I knew there was much more that could be d
doubled punctuation,salon-107,"e next thing, you know, when you're mentioning the,, the, the professionals that you're working with t"
a / an mismatch,salon-107," like you update a phone, or you know, you update a operating system, and all of a sudden, this, you k"
same word twice in a row,salon-108,"ia, thank you so much for allowing us to use your beautiful beautiful artwork for."
doubled punctuation,salon-108,a good idea. Okay.  So this has. Some nice sort of.. A bit just… and sh. Lots of more of the pieces. M
same word twice in a row,salon-108,"Ambient Ocean. Okay, I have a trailer video where each each of the collaboration projects shows just 20 secon"
same word twice in a row,salon-108,"ant to warn you that the title. The title screens go go past very quickly, and only 2 seconds. So read fa"
a / an mismatch,salon-108,"inating. To see how Randy's work got expressed in a augmented reality, and also in a worlding, as they"
same word twice in a row,salon-109,nes scroll dog patterns letters Villani mountains hacker hacker hacker hunter survived battles mystery evolutiona
a / an mismatch,salon-109,"uld say, called primordial morphologies. And it's a expedition report of an archaeological team, numbe"
a / an mismatch,salon-109," way I was really able to explore it kind of with a almost a naive approach, you know, and just in a f"
same word twice in a row,salon-109,nt college Russia until half one times could seem far far away from beautiful Amazon freehouse until ever s
same word twice in a row,salon-109,tonin that's the color of my room where it's time blue blue all right very different thanks for sharing that 
a / an mismatch,salon-109,"boy, glitchy presentation like ever. Boy, is that a expressionism classic, right? So we glitched it up"
same word twice in a row,salon-109,"commercial enterprises, advertising material, not fine fine art. They like the term Techspressionist because "
doubled punctuation,salon-109,"those of us who in the past, it's great. It's like,, I think it was, who said it? Oh, Faulkner. He sai"
same word twice in a row,salon-110,"t bother me.  But yeah, so my name is Ariel Baron-Robbins Robbins. I'm an artist. I am a professor. And that's supp"
same word twice in a row,salon-110,alk a little bit about maybe about the design and communication communication like I want to mention too that cha he was like a
same word twice in a row,salon-110," like nonstop.  And also it's like a, it's like a way way of meet again all the like the former loopers loo"
same word twice in a row,salon-110,k so how you're on right I thought I saw you yeah hi hi hi everyone so I'm sahar I'm oh I'm sahar hi I'm 
same word twice in a row,salon-110,"features of the verse, we learn how to upload and incorporate incorporate texts, images and emojis as well as how to use th"
same word twice in a row,salon-110,"as how to use the pen tool.  We also learn how to navigate navigate the verse, including how to move, explore and fly"
same word twice in a row,salon-110," awful during the residency, and see and I missed many many stuff but now this is my verse here I'm gonna fly"
missing space after a period or comma,salon-110,"ust see that it is the MUD Foundation. It is the Mud.Foundation.  So it's a nonprofit. And it is, it is c"
same word twice in a row,salon-110,"enata created. So hold your questions until after Renata Renata, are you able to share a screen and talk about th"
a / an mismatch,salon-110," that when anybody mentions anything that is like a article, or a YouTube video or a new program or so"
same word twice in a row,interview-001,"think, was an influence on my painting style. The works works behind me are a couple paintings in progress righ"
same word twice in a row,interview-001,yeah I would say like you know the influences are fairly fairly diverse you know and certainly at you know the di
same word twice in a row,interview-001,"e idea of a gesture that is, I'll make a gestural mark mark on the tablet and then rotate it in 3D space or e"
same word twice in a row,interview-002,Yeah that makes a lot of sense you know definitely definitely so do you have any specific influences as far as 
same word twice in a row,interview-002,Can you hear me now? Testing testing.
same word twice in a row,interview-002,"very strange. You know, it's kind of like Pokemon type type collecting, but like evolved into some strange cr"
same word twice in a row,interview-005,hat I think it's over there but yeah there's only three three all-male colleges mainstream colleges left yeah t
same word twice in a row,interview-005,oup of like me Patrick Steve Oz and Helen that we met met up and sort of started kicking ideas around so th
same word twice in a row,interview-005,virtual canvas so to speak because I it took me a minute minute to realize that what was going on though as I was
same word twice in a row,interview-005,se days but like just the being able to play with lighting lighting and shadows color theory general composition theo
same word twice in a row,interview-005, just moving my stylus across the canvas and like whatever whatever develops is going to develop. I was I didn't have
same word twice in a row,interview-005,ly me and so I made a conscious effort I was like while while I'm working on this while I'm doing this stuff I 
same word twice in a row,interview-005,Yeah cool cool right on yeah I mean I know you mentioned Basquia
same word twice in a row,interview-005,"it's not that. And just because, because I didn't necessarily necessarily follow or fit into the boxes of, okay, this is ki"
same word twice in a row,interview-005,t on an online dating site you know years ago and her her nephew was like oh when are you gonna message tha
same word twice in a row,interview-005,be a part of this yeah like wow this is something worth worth you know moving forward with you know and as time
same word twice in a row,interview-005, just use whatever tools are around for millennia since since you know start with like rocks rocks were availab
same word twice in a row,interview-005,or millennia since since you know start with like rocks rocks were available you know so to me it's like you kn
same word twice in a row,interview-005,t in the Shell. Yeah. Katsuhiro otomo yeah I mean amazing amazing work and then ghost in the shell the first time I
same word twice in a row,interview-005,But it's funny funny how things change and develop yeah no absolutely 
same word twice in a row,interview-005,funny funny how things change and develop yeah no absolutely absolutely and how you know like I mean anime and manga and 
same word twice in a row,interview-005, I kind of have a not necessarily strained but my family family does at times feel like it's like the status of m
same word twice in a row,interview-005,"Yes. This one is. I use the mirroring mirroring technique, and this is actually the same brushes "
same word twice in a row,interview-005,Me running running my mouth off as I am want to do these days
same word twice in a row,interview-006,ology is part of my voice so I'd say that kind of lays lays the lays the groundwork of how I resonate with yo
same word twice in a row,interview-006, we're looking we're looking at them as supremely political political positions and right the thing is that going from 
same word twice in a row,interview-006,en also on the other hand is that then how we see technology technology as an as a man as a matter of agent in order to d
same word twice in a row,interview-006, of technology and the one thing that I'm kind of begging begging the argument of is saying is that I'm just don't 
same word twice in a row,interview-006," out there someone said oh you mean you pressed a button button and the computer did it for you.  Sorry, we're no"
same word twice in a row,interview-006,"ur work as, you know, like digital computer-based technology technology start coming into your work as a medium or as you"
same word twice in a row,interview-006,"kind of, you know, kind of almost like, you know, Zen Zen data, good tie, you know, in the, you know, like "
doubled punctuation,interview-006,"rtist work.  And then I started working with these,, autonomous rovers starting in about early two tho"
same word twice in a row,interview-006,tty much defined it best and saying that you know art art that's a pros art that is the result of the socia
same word twice in a row,interview-006, I mean I've done about three four hundred pieces using using do you
same word twice in a row,interview-006, how I this is how I how I do this in other words each each of each of my executions you know of maybe this c
same word twice in a row,interview-006,look at the patterns of my consciousness you know through through creativity
same word twice in a row,interview-006,Yep yep yep and then the other the other thing and that I
same word twice in a row,interview-006,working with the sketch to painting things in the play play form project and you know this is also something 
same word twice in a row,interview-006,id from AI style transfers from photographs of my old old institution in abu dhabi inside university and so
same word twice in a row,interview-007, which room it was at that time this was like the mid mid 60s probably about 66 or so I was captivated ther
same word twice in a row,interview-007,Where our lives I thought you said said light our lives lives it's nature it's where natu
same word twice in a row,interview-007,Where our lives I thought you said said light our lives lives it's nature it's where nature exists because
a / an mismatch,interview-007,"m getting around to it. So in 2018, I applied for a artist call for a show that was called The Art of "
same word twice in a row,interview-007,"story unfolds. So if you start making smaller and smaller smaller, how do you view the work that way? What does it "
same word twice in a row,interview-008, grid is drawn using like a squeeze bottle. I had done done the grid by pencil and then I went over the grid 
doubled punctuation,interview-008,"It also was a little like a Chinese sort of,, landscape in it somewhere."
doubled punctuation,interview-008,"And this is just, this is a book that,, Al Gore, won the Nobel prize for, and I, I photog"
same word twice in a row,interview-008,", I think that can be made through the space that gets gets beyond the body in a way. So it's, it's, it's cur"
same word twice in a row,interview-009," the robot. So, you know, maybe if you could just tell tell us a little bit more about that, you know, that p"
same word twice in a row,interview-009,"ans are paid on Spotify something like zero point zero zero zero five cents, five dollars per stream.  Like u"
same word twice in a row,interview-009,"asons why blockchain and blockchain based economy should should exist, you know. And I think that.  That's, you k"
same word twice in a row,interview-010,the laser just kept cutting through the vinyl the vellum vellum vellum until it fell out and it creates this real
doubled punctuation,interview-010,"from the drone and taking them into again, digital,, coding language and actually pulling out the pixe"
same word twice in a row,interview-010,"an art movement. But it's this idea that there is even even though there's always a digital artifact, there i"
same word twice in a row,interview-010," friend and know like, you know, like this person might might be interested or appreciate this and then just ge"
same word twice in a row,interview-011," that, but it had all kinds of pieces in it, like Doobie Doobie Doo and Caduceus. And sorry, I forget. I'm forget"
same word twice in a row,interview-011," inside of the, the lamp over here. There was the doobie doobie doo back there in the corner. And those are the m"
same word twice in a row,interview-011,"up, you know, kind of mini computer, you know, or mini mini mainframe or whatever you want to call it. So but"
same word twice in a row,interview-011, into place and keeps it keeps it set and it just once once you have the 3d model that 3d model is translatab
same word twice in a row,interview-011, situation or through various tool paths in a cab cam cam standing for computer aided manufacturer kind of 
same word twice in a row,interview-011,"Yeah, this is you know, this is my most most recent body of work. And it is. Wait, somehow I'm"
same word twice in a row,interview-012,"ly did as much to popularize, you know, the, the, creative creative notions of VR as anybody, don't you think?"
same word twice in a row,interview-012,was that had our bite chin which was kind of like child child worker but with the with the german flag colors t
same word twice in a row,interview-012,rds what is it in what mccluhan was talking about hot hot and bold media in other words you get you're gett
same word twice in a row,interview-013,concept in my mind calls for is what I'm going to go go to create with. So now I work at the Jesse Norman
same word twice in a row,interview-013,as the program that I started using you know as a young young art wannabe artist wannabe so I want to be you ju
same word twice in a row,interview-013,at was where my concerns were and I got away from art art like the art for art's sake says this kind of stu
same word twice in a row,interview-013,he fourth generation right over here nice yeah so big big big fans here too very cool back to art stuff now
same word twice in a row,interview-013,now I think that's kind of really that's really a huge huge influence for me kind of pop culture sort of thin
same word twice in a row,interview-013,ensive particularly offensive so this one offends pretty pretty regularly but what I wanted to say some of my fri
a / an mismatch,interview-013,now 15th century France it's like no I still have a interesting saleable hangable piece yeah so this w
same word twice in a row,interview-013,ded up better for some reason so my atoms kind of never never were as compelling to me for whatever reason this
same word twice in a row,interview-013, I recently just traded with colin on which I was pretty pretty excited so I think I might have a better picture 
same word twice in a row,interview-013,se kind of thing so some kind of photograms I did legos legos legos so this was a display that I did in my seni
same word twice in a row,interview-013, first real digital piece and my first real piece since since leaving college and this is more of like a person
same word twice in a row,interview-013,I've been kind of working on these sort of really heavy heavy conceptual things so this originally came from an
same word twice in a row,interview-013,about that I mean it works though it does it does whatever whatever can get you to understand that everything we're a
same word twice in a row,interview-013, you to understand that everything we're all just shapes shapes so this is my this is my skelly bot christmas car
same word twice in a row,interview-013,e to be more of a part of but kovat happened like six six months after we moved into the city or like on th
same word twice in a row,interview-013, can't be in the galleries because right well but soon soon I got the vaccine shot number one down so good jo
same word twice in a row,interview-013,you know maybe put out a book have a book signing whatever whatever happens you know I'm a very kind of go with the f
same word twice in a row,interview-013,I think we can go ahead and start wrapping wrapping this up we our interview has gone over a little o
same word twice in a row,interview-013,We made it so you have any parting parting thoughts party insights before we wrap things up 
same word twice in a row,interview-013,"you so much for having me and thank you thank you Colin Colin and everybody else, of course, for having me as p"
a / an mismatch,interview-014, the present for the women's United States and is an forever running center of power. She's also an art
doubled punctuation,interview-014,"l LeWitt and the idea of iteration and process and,, other procedural drawing, things like that. So in"
a / an mismatch,interview-015,"Everything at these scales is an this scale. However, I've decided to make editions"
doubled punctuation,interview-015,Right. The multi..
doubled punctuation,interview-015,"Over here, you can see some flowers that were. And.. So I really like the idea of not trying to make i"
same word twice in a row,interview-015,"Or it may not be recognized until until someone finds the capsule, you know, out there in"
